Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes
0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,6220896
0.676,0.703,8,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173,1079128
0.695,0.923,1,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,215150,282142
0.689,0.739,2,-5.81,0.026,1.51E-05,0.509,0.064,0.578,120.423,233867,1788577
0.663,0.694,10,-8.627,0.171,0.0253,0,0.0698,0.525,167.953,340920,6197318
0.76,0.891,11,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,245000,1844658
0.716,0.897,4,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,274142,11686
0.726,0.815,11,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,209560,17675
0.741,0.913,2,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,213750,739527
0.625,0.877,10,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,230426,1386920
0.592,0.767,9,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4394471
0.559,0.345,4,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,1213572
0.618,0.938,9,-3.442,0.0456,0.0179,0,0.167,0.875,91.455,269000,1740224
0.595,0.717,0,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,1890900
0.458,0.795,0,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,3140356
0.427,0.9,11,-3.674,0.0499,0.116,1.75E-05,0.119,0.599,104.655,334667,1272266
0.556,0.913,0,-2.36,0.0437,0.0193,8.59E-06,0.346,0.73,96.184,282160,1456622
0.451,0.97,0,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,784717
0.666,0.936,7,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,282907,434837
0.7,0.742,5,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,302000,2094182
0.902,0.72,6,-2.776,0.347,0.26,0,0.0749,0.805,90.059,193467,10481678
0.614,0.574,11,-7.961,0.466,0.0253,3.20E-05,0.38,0.755,125.173,209107,5014527
0.489,0.692,1,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,237707,2523312
0.7,0.758,10,-3.012,0.342,0.0444,1.30E-05,0.0401,0.889,78.693,249467,3334710
0.653,0.826,6,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52,256227,2765887
0.925,0.659,3,-4.763,0.231,0.206,7.88E-05,0.279,0.71,97.018,214227,382791
0.576,0.807,6,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,224427,2759199
0.853,0.776,8,-4.221,0.261,0.0714,0,0.181,0.659,94.028,212013,245935
0.892,0.631,11,-2.522,0.302,0.244,0,0.0235,0.838,93.975,196640,612
0.545,0.64,10,-3.529,0.308,0.368,0,0.111,0.574,181.733,254493,5729
0.566,0.834,6,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560,2828795
0.547,0.394,4,-9.793,0.0262,0.0522,6.40E-06,0.0795,0.17,142.37,388733,5127599
0.539,0.828,4,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,515387,293409
0.511,0.972,10,-3.751,0.0413,5.36E-06,0.00101,0.19,0.532,132.97,304893,429797
0.531,0.583,7,-9.47,0.0256,0.0184,0.00624,0.255,0.207,139.503,387160,1781690
0.438,0.687,7,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,446146,18
0.512,0.86,0,-6.145,0.0703,0.00631,0.00528,0.0652,0.258,117.909,309973,274106
0.386,0.996,11,-2.96,0.0754,1.15E-05,0.000836,0.116,0.188,130.573,205680,473751
0.624,0.876,7,-6.005,0.0342,0.000926,0.00164,0.0561,0.453,89.24,324600,418124
0.425,0.972,4,-3.448,0.045,2.42E-05,0.0202,0.239,0.282,101.125,330453,217109
0.429,0.661,11,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4600933
0.486,0.617,5,-7.115,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,242373,4370461
0.371,0.268,1,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,227093,787343
0.617,0.635,11,-6.769,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160,10282499
0.557,0.442,5,-7.224,0.0243,0.731,1.46E-05,0.11,0.213,146.277,309600,5532787
0.545,0.675,6,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,3741300
0.449,0.585,5,-6.761,0.0268,0.0509,8.75E-05,0.0833,0.212,139.631,278719,8497224
0.491,0.693,0,-6.487,0.0377,0.211,6.92E-06,0.325,0.412,90.027,258267,13515772
0.573,0.711,1,-6.268,0.0406,0.0114,0,0.328,0.47,105.006,226198,8867547
0.209,0.417,3,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,2962029
0.794,0.811,6,-8.966,0.038,0.0426,1.07E-06,0.101,0.862,116.047,248413,956073
0.613,0.697,2,-8.618,0.133,0.0194,0,0.332,0.476,122.746,320357,2707992
0.775,0.585,10,-9.516,0.0271,0.0422,0.619,0.077,0.518,109.942,337560,3111505
0.81,0.793,6,-9.404,0.0403,0.0378,1.77E-06,0.072,0.863,116.05,369627,956073
0.956,0.795,7,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,429533,466569
0.817,0.716,6,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,224693,1329678
0.875,0.475,9,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,232667,723914
0.832,0.659,10,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,353893,1115598
0.605,0.687,9,-13.928,0.045,0.479,0.949,0.104,0.12,106.896,345187,216822
0.644,0.664,9,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,301373,203063
0.556,0.864,3,-5.87,0.0584,0.00958,0,0.209,0.4,105.143,216880,10183387
0.496,0.863,9,-4.153,0.0381,0.0046,0,0.639,0.243,110.018,185587,12341722
0.623,0.93,5,-5.285,0.0324,0.0141,1.64E-06,0.138,0.287,120.119,205613,3370635
